Timestamp,Chronos_Bolt_Tiny
2023-08-12 00:00:00+00:00,29454.22265625
2023-08-13 00:00:00+00:00,29386.662109375
2023-08-14 00:00:00+00:00,29053.404296875
2023-08-15 00:00:00+00:00,28988.236328125
2023-08-16 00:00:00+00:00,28751.79296875
2023-08-17 00:00:00+00:00,28273.064453125
2023-08-18 00:00:00+00:00,26497.435546875
2023-08-19 00:00:00+00:00,26045.431640625
2023-08-20 00:00:00+00:00,26052.6171875
2023-08-21 00:00:00+00:00,26090.5390625
2023-08-22 00:00:00+00:00,26071.806640625
2023-08-23 00:00:00+00:00,26070.505859375
2023-08-24 00:00:00+00:00,26271.759765625
2023-08-25 00:00:00+00:00,26163.365234375
2023-08-26 00:00:00+00:00,26158.75390625
2023-08-27 00:00:00+00:00,26094.931640625
2023-08-28 00:00:00+00:00,26125.251953125
2023-08-29 00:00:00+00:00,26186.65625
2023-08-30 00:00:00+00:00,27312.62109375
2023-08-31 00:00:00+00:00,27181.609375
2023-09-01 00:00:00+00:00,26353.724609375
2023-09-02 00:00:00+00:00,26248.6640625
2023-09-03 00:00:00+00:00,26168.63671875
2023-09-04 00:00:00+00:00,26128.494140625
2023-09-05 00:00:00+00:00,26015.57421875
2023-09-06 00:00:00+00:00,25960.779296875
2023-09-07 00:00:00+00:00,25929.37109375
2023-09-08 00:00:00+00:00,26072.822265625
2023-09-09 00:00:00+00:00,25949.71875
2023-09-10 00:00:00+00:00,26001.044921875
2023-09-11 00:00:00+00:00,25923.1640625
2023-09-12 00:00:00+00:00,25564.470703125
2023-09-13 00:00:00+00:00,25840.05078125
2023-09-14 00:00:00+00:00,25968.181640625
2023-09-15 00:00:00+00:00,26148.5234375
2023-09-16 00:00:00+00:00,26261.482421875
2023-09-17 00:00:00+00:00,26265.564453125
2023-09-18 00:00:00+00:00,26315.03515625
2023-09-19 00:00:00+00:00,26745.248046875
2023-09-20 00:00:00+00:00,27211.4921875
2023-09-21 00:00:00+00:00,27119.89453125
2023-09-22 00:00:00+00:00,26935.9609375
2023-09-23 00:00:00+00:00,27341.701171875
2023-09-24 00:00:00+00:00,27692.671875
2023-09-25 00:00:00+00:00,26887.37890625
2023-09-26 00:00:00+00:00,26460.76171875
2023-09-27 00:00:00+00:00,26227.72265625
2023-09-28 00:00:00+00:00,26274.4140625
2023-09-29 00:00:00+00:00,27088.048828125
2023-09-30 00:00:00+00:00,26735.8671875
2023-10-01 00:00:00+00:00,26746.6953125
2023-10-02 00:00:00+00:00,28210.96484375
2023-10-03 00:00:00+00:00,27618.205078125
2023-10-04 00:00:00+00:00,27542.69921875
2023-10-05 00:00:00+00:00,28072.30078125
2023-10-06 00:00:00+00:00,27637.8671875
2023-10-07 00:00:00+00:00,28070.904296875
2023-10-08 00:00:00+00:00,28003.9375
2023-10-09 00:00:00+00:00,27943.689453125
2023-10-10 00:00:00+00:00,27594.275390625
2023-10-11 00:00:00+00:00,27420.791015625
2023-10-12 00:00:00+00:00,26736.140625
2023-10-13 00:00:00+00:00,26568.162109375
2023-10-14 00:00:00+00:00,26777.33203125
2023-10-15 00:00:00+00:00,26690.453125
2023-10-16 00:00:00+00:00,27123.828125
2023-10-17 00:00:00+00:00,28577.8359375
2023-10-18 00:00:00+00:00,28214.326171875
2023-10-19 00:00:00+00:00,28370.970703125
2023-10-20 00:00:00+00:00,29030.83984375
2023-10-21 00:00:00+00:00,30090.240234375
2023-10-22 00:00:00+00:00,30233.955078125
2023-10-23 00:00:00+00:00,30205.388671875
2023-10-24 00:00:00+00:00,33118.1484375
2023-10-25 00:00:00+00:00,34490.19140625
2023-10-26 00:00:00+00:00,35559.09765625
2023-10-27 00:00:00+00:00,35011.546875
2023-10-28 00:00:00+00:00,34677.39453125
2023-10-29 00:00:00+00:00,35057.98828125
2023-10-30 00:00:00+00:00,35537.64453125
2023-10-31 00:00:00+00:00,35044.4609375
2023-11-01 00:00:00+00:00,35105.46484375
2023-11-02 00:00:00+00:00,36210.19140625
2023-11-03 00:00:00+00:00,35121.58203125
2023-11-04 00:00:00+00:00,34831.6015625
2023-11-05 00:00:00+00:00,35557.50390625
2023-11-06 00:00:00+00:00,35348.76171875
2023-11-07 00:00:00+00:00,35347.78125
2023-11-08 00:00:00+00:00,36042.5078125
2023-11-09 00:00:00+00:00,36282.58984375
2023-11-10 00:00:00+00:00,37303.0625
2023-11-11 00:00:00+00:00,37819.8125
2023-11-12 00:00:00+00:00,37671.546875
2023-11-13 00:00:00+00:00,37528.6640625
2023-11-14 00:00:00+00:00,36706.26953125
2023-11-15 00:00:00+00:00,35612.515625
2023-11-16 00:00:00+00:00,38343.1640625
2023-11-17 00:00:00+00:00,36772.6875
2023-11-18 00:00:00+00:00,36954.640625
2023-11-19 00:00:00+00:00,36887.671875
2023-11-20 00:00:00+00:00,37752.34375
2023-11-21 00:00:00+00:00,38037.1640625
2023-11-22 00:00:00+00:00,36241.5625
2023-11-23 00:00:00+00:00,37860.2578125
2023-11-24 00:00:00+00:00,37866.140625
2023-11-25 00:00:00+00:00,38273.25
2023-11-26 00:00:00+00:00,38330.61328125
2023-11-27 00:00:00+00:00,37915.78125
2023-11-28 00:00:00+00:00,37692.2265625
2023-11-29 00:00:00+00:00,38277.94140625
2023-11-30 00:00:00+00:00,38360.2421875
2023-12-01 00:00:00+00:00,38249.28125
2023-12-02 00:00:00+00:00,39337.5390625
2023-12-03 00:00:00+00:00,40277.01171875
2023-12-04 00:00:00+00:00,40555.86328125
2023-12-05 00:00:00+00:00,42739.3828125
2023-12-06 00:00:00+00:00,44866.54296875
2023-12-07 00:00:00+00:00,44415.9140625
2023-12-08 00:00:00+00:00,43428.34375
2023-12-09 00:00:00+00:00,44720.19140625
2023-12-10 00:00:00+00:00,44011.9609375
2023-12-11 00:00:00+00:00,43801.4921875
2023-12-12 00:00:00+00:00,40918.59375
2023-12-13 00:00:00+00:00,41173.375
2023-12-14 00:00:00+00:00,43036.98828125
2023-12-15 00:00:00+00:00,43248.9140625
2023-12-16 00:00:00+00:00,41987.03125
2023-12-17 00:00:00+00:00,42560.34765625
2023-12-18 00:00:00+00:00,40983.77734375
