Timestamp,Actual,Naive,Persistence_Enhanced_LSTM,Chronos_Bolt_Tiny
2023-10-16 00:00:00+00:00,28518.0,27174.0,27084.043669581413,27123.828125
2023-10-17 00:00:00+00:00,28408.0,28518.0,28512.854689478874,28577.8359375
2023-10-18 00:00:00+00:00,28328.0,28408.0,28388.517479896545,28214.326171875
2023-10-19 00:00:00+00:00,28733.0,28328.0,28298.929433345795,28370.970703125
2023-10-20 00:00:00+00:00,29688.0,28733.0,28724.83593922853,29030.83984375
2023-10-21 00:00:00+00:00,29927.0,29688.0,29734.262924194336,30090.240234375
2023-10-22 00:00:00+00:00,30002.0,29927.0,29975.9221752882,30233.955078125
2023-10-23 00:00:00+00:00,33074.0,30002.0,30042.61135172844,30205.388671875
2023-10-24 00:00:00+00:00,33917.0,33074.0,33311.56119275093,33118.1484375
2023-10-25 00:00:00+00:00,34498.0,33917.0,34181.06683766842,34490.19140625
2023-10-26 00:00:00+00:00,34165.0,34498.0,34769.896752119064,35559.09765625
2023-10-27 00:00:00+00:00,33906.0,34165.0,34375.29012739658,35011.546875
2023-10-28 00:00:00+00:00,34091.0,33906.0,34064.27716040611,34677.39453125
2023-10-29 00:00:00+00:00,34538.0,34091.0,34230.365513682365,35057.98828125
2023-10-30 00:00:00+00:00,34495.0,34538.0,34676.883091926575,35537.64453125
2023-10-31 00:00:00+00:00,34661.0,34495.0,34599.45618510246,35044.4609375
2023-11-01 00:00:00+00:00,35440.0,34661.0,34748.58416378498,35105.46484375
2023-11-02 00:00:00+00:00,34937.0,35440.0,35553.7859249115,36210.19140625
2023-11-03 00:00:00+00:00,34727.0,34937.0,34988.08562016487,35121.58203125
2023-11-04 00:00:00+00:00,35086.0,34727.0,34742.73944735527,34831.6015625
2023-11-05 00:00:00+00:00,35045.0,35086.0,35106.35660290718,35557.50390625
2023-11-06 00:00:00+00:00,35042.0,35045.0,35043.23492616415,35348.76171875
2023-11-07 00:00:00+00:00,35414.0,35042.0,35024.13564002514,35347.78125
2023-11-08 00:00:00+00:00,35640.0,35414.0,35405.99147725105,36042.5078125
2023-11-09 00:00:00+00:00,36693.0,35640.0,35631.99135303497,36282.58984375
2023-11-10 00:00:00+00:00,37319.0,36693.0,36739.702761769295,37303.0625
2023-11-11 00:00:00+00:00,37152.0,37319.0,37388.23178172112,37819.8125
2023-11-12 00:00:00+00:00,37086.0,37152.0,37190.07936859131,37671.546875
2023-11-13 00:00:00+00:00,36485.0,37086.0,37102.61852288246,37528.6640625
2023-11-14 00:00:00+00:00,35564.0,36485.0,36446.80400013924,36706.26953125
2023-11-15 00:00:00+00:00,37877.0,35564.0,35457.004125356674,35612.515625
2023-11-16 00:00:00+00:00,36165.0,37877.0,37910.8601616621,38343.1640625
2023-11-17 00:00:00+00:00,36625.0,36165.0,36069.61461246014,36772.6875
2023-11-18 00:00:00+00:00,36590.0,36625.0,36555.848471820354,36954.640625
2023-11-19 00:00:00+00:00,37426.0,36590.0,36510.28686404228,36887.671875
2023-11-20 00:00:00+00:00,37480.0,37426.0,37392.93116283417,37752.34375
2023-11-21 00:00:00+00:00,35758.0,37480.0,37440.118951797485,38037.1640625
2023-11-22 00:00:00+00:00,37424.0,35758.0,35602.87660193443,36241.5625
2023-11-23 00:00:00+00:00,37301.0,37424.0,37373.47590827942,37860.2578125
2023-11-24 00:00:00+00:00,37746.0,37301.0,37232.72650885582,37866.140625
2023-11-25 00:00:00+00:00,37809.0,37746.0,37701.08425569534,38273.25
2023-11-26 00:00:00+00:00,37460.0,37809.0,37760.55002528429,38330.61328125
2023-11-27 00:00:00+00:00,37240.0,37460.0,37382.65168905258,37915.78125
2023-11-28 00:00:00+00:00,37839.0,37240.0,37144.36077833176,37692.2265625
