Timestamp,Actual,Naive
2023-12-08 00:00:00+00:00,44193.0,43291.0
2023-12-09 00:00:00+00:00,43712.0,44193.0
2023-12-10 00:00:00+00:00,43786.0,43712.0
2023-12-11 00:00:00+00:00,41242.0,43786.0
2023-12-12 00:00:00+00:00,41458.0,41242.0
2023-12-13 00:00:00+00:00,42888.0,41458.0
2023-12-14 00:00:00+00:00,43031.0,42888.0
2023-12-15 00:00:00+00:00,41925.0,43031.0
2023-12-16 00:00:00+00:00,42246.0,41925.0
2023-12-17 00:00:00+00:00,41345.0,42246.0
2023-12-18 00:00:00+00:00,42650.0,41345.0
2023-12-19 00:00:00+00:00,42258.0,42650.0
2023-12-20 00:00:00+00:00,43665.0,42258.0
2023-12-21 00:00:00+00:00,43873.0,43665.0
2023-12-22 00:00:00+00:00,44002.0,43873.0
2023-12-23 00:00:00+00:00,43733.0,44002.0
2023-12-24 00:00:00+00:00,43033.0,43733.0
2023-12-25 00:00:00+00:00,43591.0,43033.0
2023-12-26 00:00:00+00:00,42510.0,43591.0
2023-12-27 00:00:00+00:00,43473.0,42510.0
2023-12-28 00:00:00+00:00,42583.0,43473.0
2023-12-29 00:00:00+00:00,42072.0,42583.0
2023-12-30 00:00:00+00:00,42148.0,42072.0
2023-12-31 00:00:00+00:00,42258.0,42148.0
2024-01-01 00:00:00+00:00,44187.0,42258.0
2024-01-02 00:00:00+00:00,44970.0,44187.0
2024-01-03 00:00:00+00:00,42865.0,44970.0
2024-01-04 00:00:00+00:00,44186.0,42865.0
2024-01-05 00:00:00+00:00,44184.0,44186.0
2024-01-06 00:00:00+00:00,43999.0,44184.0
2024-01-07 00:00:00+00:00,43944.0,43999.0
2024-01-08 00:00:00+00:00,46995.0,43944.0
2024-01-09 00:00:00+00:00,46124.0,46995.0
2024-01-10 00:00:00+00:00,46681.0,46124.0
2024-01-11 00:00:00+00:00,46360.0,46681.0
2024-01-12 00:00:00+00:00,42778.0,46360.0
2024-01-13 00:00:00+00:00,42843.0,42778.0
2024-01-14 00:00:00+00:00,41715.0,42843.0
2024-01-15 00:00:00+00:00,42493.0,41715.0
2024-01-16 00:00:00+00:00,43131.0,42493.0
2024-01-17 00:00:00+00:00,42738.0,43131.0
2024-01-18 00:00:00+00:00,41283.0,42738.0
2024-01-19 00:00:00+00:00,41628.0,41283.0
2024-01-20 00:00:00+00:00,41673.0,41628.0
2024-01-21 00:00:00+00:00,41560.0,41673.0
2024-01-22 00:00:00+00:00,39528.0,41560.0
2024-01-23 00:00:00+00:00,39868.0,39528.0
2024-01-24 00:00:00+00:00,40074.0,39868.0
2024-01-25 00:00:00+00:00,39916.0,40074.0
2024-01-26 00:00:00+00:00,41818.0,39916.0
2024-01-27 00:00:00+00:00,42124.0,41818.0
2024-01-28 00:00:00+00:00,42026.0,42124.0
2024-01-29 00:00:00+00:00,43305.0,42026.0
2024-01-30 00:00:00+00:00,42946.0,43305.0
2024-01-31 00:00:00+00:00,42558.0,42946.0
2024-02-01 00:00:00+00:00,43071.0,42558.0
2024-02-02 00:00:00+00:00,43183.0,43071.0
2024-02-03 00:00:00+00:00,42994.0,43183.0
2024-02-04 00:00:00+00:00,42570.0,42994.0
2024-02-05 00:00:00+00:00,42659.0,42570.0
2024-02-06 00:00:00+00:00,43092.0,42659.0
2024-02-07 00:00:00+00:00,44346.0,43092.0
2024-02-08 00:00:00+00:00,45300.0,44346.0
2024-02-09 00:00:00+00:00,47161.0,45300.0
2024-02-10 00:00:00+00:00,47770.0,47161.0
2024-02-11 00:00:00+00:00,48313.0,47770.0
2024-02-12 00:00:00+00:00,49937.0,48313.0
2024-02-13 00:00:00+00:00,49720.0,49937.0
2024-02-14 00:00:00+00:00,51844.0,49720.0
2024-02-15 00:00:00+00:00,51942.0,51844.0
2024-02-16 00:00:00+00:00,52161.0,51942.0
2024-02-17 00:00:00+00:00,51664.0,52161.0
2024-02-18 00:00:00+00:00,52130.0,51664.0
2024-02-19 00:00:00+00:00,51789.0,52130.0
2024-02-20 00:00:00+00:00,52275.0,51789.0
2024-02-21 00:00:00+00:00,51843.0,52275.0
2024-02-22 00:00:00+00:00,51253.0,51843.0
2024-02-23 00:00:00+00:00,50743.0,51253.0
2024-02-24 00:00:00+00:00,51562.0,50743.0
2024-02-25 00:00:00+00:00,51722.0,51562.0
2024-02-26 00:00:00+00:00,54524.0,51722.0
2024-02-27 00:00:00+00:00,57068.0,54524.0
2024-02-28 00:00:00+00:00,62512.0,57068.0
2024-02-29 00:00:00+00:00,61161.0,62512.0
2024-03-01 00:00:00+00:00,62444.0,61161.0
2024-03-02 00:00:00+00:00,62042.0,62444.0
2024-03-03 00:00:00+00:00,63142.0,62042.0
2024-03-04 00:00:00+00:00,68359.0,63142.0
2024-03-05 00:00:00+00:00,63796.0,68359.0
2024-03-06 00:00:00+00:00,66120.0,63796.0
2024-03-07 00:00:00+00:00,66941.0,66120.0
2024-03-08 00:00:00+00:00,68285.0,66941.0
2024-03-09 00:00:00+00:00,68463.0,68285.0
2024-03-10 00:00:00+00:00,69026.0,68463.0
2024-03-11 00:00:00+00:00,72118.0,69026.0
2024-03-12 00:00:00+00:00,71473.0,72118.0
2024-03-13 00:00:00+00:00,73121.0,71473.0
2024-03-14 00:00:00+00:00,71371.0,73121.0
2024-03-15 00:00:00+00:00,69516.0,71371.0
2024-03-16 00:00:00+00:00,65248.0,69516.0
2024-03-17 00:00:00+00:00,68352.0,65248.0
2024-03-18 00:00:00+00:00,67613.0,68352.0
