Timestamp,Persistence_Enhanced_LSTM
2023-08-12 00:00:00+00:00,29310.18211853504
2023-08-13 00:00:00+00:00,29327.78881251812
2023-08-14 00:00:00+00:00,29188.755352258682
2023-08-15 00:00:00+00:00,29320.85338783264
2023-08-16 00:00:00+00:00,29069.8288936615
2023-08-17 00:00:00+00:00,28571.487057745457
2023-08-18 00:00:00+00:00,26396.74176812172
2023-08-19 00:00:00+00:00,25788.47321242094
2023-08-20 00:00:00+00:00,25852.10481083393
2023-08-21 00:00:00+00:00,25967.04395008087
2023-08-22 00:00:00+00:00,25910.968355834484
2023-08-23 00:00:00+00:00,25838.11690890789
2023-08-24 00:00:00+00:00,26264.315281629562
2023-08-25 00:00:00+00:00,25997.282396793365
2023-08-26 00:00:00+00:00,25882.705932617188
2023-08-27 00:00:00+00:00,25851.803639888763
2023-08-28 00:00:00+00:00,25948.956884145737
2023-08-29 00:00:00+00:00,25971.498709201813
2023-08-30 00:00:00+00:00,27702.17448914051
2023-08-31 00:00:00+00:00,27246.2663769722
2023-09-01 00:00:00+00:00,25795.777218818665
2023-09-02 00:00:00+00:00,25661.621567606926
2023-09-03 00:00:00+00:00,25743.17587375641
2023-09-04 00:00:00+00:00,25853.911244869232
2023-09-05 00:00:00+00:00,25698.006062865257
2023-09-06 00:00:00+00:00,25664.833408117294
2023-09-07 00:00:00+00:00,25632.26517391205
2023-09-08 00:00:00+00:00,26163.756838142872
2023-09-09 00:00:00+00:00,25807.236982584
2023-09-10 00:00:00+00:00,25801.367105841637
2023-09-11 00:00:00+00:00,25737.0523352623
2023-09-12 00:00:00+00:00,25017.73556381464
2023-09-13 00:00:00+00:00,25754.486052036285
2023-09-14 00:00:00+00:00,26160.782091021538
2023-09-15 00:00:00+00:00,26482.560221135616
2023-09-16 00:00:00+00:00,26563.6652610898
2023-09-17 00:00:00+00:00,26523.511105835438
2023-09-18 00:00:00+00:00,26482.757864892483
2023-09-19 00:00:00+00:00,26729.744195342064
2023-09-20 00:00:00+00:00,27197.56021106243
2023-09-21 00:00:00+00:00,27099.39445257187
2023-09-22 00:00:00+00:00,26493.57958495617
